filename,source,width,height,raw_yolo_boxes,service_yolo_boxes,box_coords,confidences,max_pairwise_iou,note
0047a93e-c5fe-4a5b-b1cd-ed4e18a48380.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
00d62724-1754-43cd-9370-f2cb06190ffb.jpg,backend/uploads,638,480,1,1,"51,23,582,459",0.517,,
0521dc50-8922-489a-90ae-494d343d8202.jpg,backend/uploads,452,678,1,1,"35,127,431,530",0.346,,
077737a5-8420-49a2-a475-bfcb5f21ee4b.jpg,backend/uploads,554,554,1,1,"2,7,554,542",0.918,,
09300ac4-b2d2-420a-97aa-9fd515ec0178.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
0ba3810f-aa9b-4679-b21f-9f654c15a30b.jpg,backend/uploads,500,500,1,1,"0,0,500,500",0.982,,
0d1babd8-4c79-464d-bb63-26b59f238d15.jpg,backend/uploads,364,549,1,1,"4,86,364,498",0.52,,
0e17e551-735d-473a-8db9-5d574f228d66.jpg,backend/uploads,554,554,1,1,"3,2,512,518",0.78,,
13ad782f-14b4-4d9c-9cb1-a7facc3b3a6f.jpg,backend/uploads,500,650,1,1,"10,76,490,585",0.823,,
1451c25c-de8b-48d1-bb10-d0ab1e11667c.jpg,backend/uploads,452,678,1,1,"11,29,448,642",0.771,,
189fed7c-933f-48e0-9f5f-2a16b61b9e66.jpg,backend/uploads,554,554,1,1,"0,2,554,543",0.953,,
1b373773-7108-4cc2-93b7-750a6a3bb502.jpg,backend/uploads,554,554,1,1,"3,52,545,511",0.674,,
1bb8dd0b-64a3-4306-b994-501caefe08d9.jpg,backend/uploads,225,225,1,1,"12,2,225,220",0.737,,
1d53ee96-8a70-4b1e-8ca4-00f2ba05adcc.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
1eeeed15-650e-4aa9-9108-4cd9f0f2f5ad.jpeg,backend/uploads,407,491,2,1,"17,181,398,464;10,42,397,469",0.565;0.294,0.648,dedup collapsed overlapping food boxes
269bbd2d-193a-48d8-8ab4-957042e1a520.jpg,backend/uploads,554,554,1,1,"3,52,545,511",0.674,,
29922f8f-f829-484c-9bcf-47cc9bace738.jpg,backend/uploads,452,678,1,1,"89,60,415,672",0.611,,
2adf67b4-d9fe-4e31-b2d3-d8b021ed4ec6.jpeg,backend/uploads,407,491,2,1,"17,181,398,464;10,42,397,469",0.565;0.294,0.648,dedup collapsed overlapping food boxes
2b9bc629-66e2-4edb-b89e-a3657707e387.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
2d0e5f49-82bc-4f62-beed-61169458cc31.jpg,backend/uploads,500,500,1,1,"0,0,500,500",0.982,,
2f565ccf-35bb-4227-89a2-fff8378adf18.jpg,backend/uploads,554,554,1,1,"110,38,468,521",0.477,,
2fb9aa4b-cefa-4073-a3f3-30e2d5853bd5.jpg,backend/uploads,452,678,1,1,"7,151,432,642",0.483,,
3cd0bb1b-fd53-4353-9d0c-396eed6b0fb8.jpg,backend/uploads,210,148,1,1,"0,3,210,147",0.943,,
3d99a4ff-7976-4d26-957d-abb4edb226fb.jpg,backend/uploads,554,554,1,1,"3,52,545,511",0.674,,
41d15f13-7a5a-4099-8cf5-bb8f2ca68d9d.jpg,backend/uploads,583,526,1,1,"1,39,580,484",0.755,,
44a1b635-eec4-4bc8-a6c0-c8dca350b9ae.jpg,backend/uploads,554,554,1,1,"0,2,554,543",0.953,,
44fc203f-68fd-493e-9fe2-25303e80038f.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
45b24352-ca97-4d75-a3c8-4bfd0b46cfeb.jpg,backend/uploads,182,276,1,1,"0,32,182,226",0.573,,
4ea87dae-e436-472b-acfb-93755ae111b1.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
506ccc4c-5a41-4908-9e17-9bc456c1a347.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
50a98b51-5ba7-4092-9aa6-1d5012dbb4cb.jpeg,backend/uploads,407,491,2,1,"17,181,398,464;10,42,397,469",0.565;0.294,0.648,dedup collapsed overlapping food boxes
583e0cc4-cd4d-4efa-bdb5-c455b4dbd127.jpg,backend/uploads,554,554,1,1,"3,52,545,511",0.674,,
5eacf75c-5ea1-4673-848a-540a26144335.jpg,backend/uploads,515,388,1,1,"59,146,392,362",0.717,,
62a214a7-9af1-4d4c-bfa4-7f7601933e44.jpg,backend/uploads,480,640,1,1,"114,45,387,324",0.325,,
6ae041e1-f146-4943-bbc8-76719d032791.jpg,backend/uploads,225,225,2,1,"9,37,196,215;10,39,219,158",0.644;0.31,0.614,dedup collapsed overlapping food boxes
706a5413-696c-4535-9c38-b811eb56cf56.jpg,backend/uploads,554,554,1,1,"55,75,513,492",0.769,,
73f4fea9-34cc-4c1b-b318-8459ba8bb059.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
