class,mapped,priority,resolved_dish
apple_pie,True,priority2_alias,Apple cinnamon pie
baby_back_ribs,False,unresolved,Unresolved: baby_back_ribs
baklava,False,unresolved,Unresolved: baklava
beef_carpaccio,False,unresolved,Unresolved: beef_carpaccio
beef_tartare,False,unresolved,Unresolved: beef_tartare
beet_salad,False,unresolved,Unresolved: beet_salad
beignets,False,unresolved,Unresolved: beignets
bibimbap,False,unresolved,Unresolved: bibimbap
bread_pudding,True,priority2_alias,Bread and butter pudding
breakfast_burrito,True,priority2_alias,Stuffed egg omelette/omlet
bruschetta,True,priority2_alias,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted))
burger,True,priority2_alias,Vegetable burger
butter_naan,True,priority2_alias,Naan
caesar_salad,True,priority2_alias,Tossed green salad
cannoli,False,unresolved,Unresolved: cannoli
caprese_salad,True,priority2_alias,Tossed salad
carrot_cake,True,priority2_alias,Carrot cake (Gajar ka cake)
ceviche,False,unresolved,Unresolved: ceviche
chai,True,priority2_alias,Hot tea (Garam Chai)
chapati,True,priority2_alias,Chapati/Roti
cheese_plate,True,priority4_fuzzy,Cheese patties
cheesecake,True,priority2_alias,Plain cream cake
chicken_curry,True,priority2_alias,Chicken curry
chicken_quesadilla,True,priority4_fuzzy,Chicken salad
chicken_wings,True,priority4_fuzzy,Chicken chowmein
chocolate_cake,True,priority3_normalized,Chocolate cake
chocolate_mousse,True,priority4_fuzzy,Rich chocolate mousse
chole_bhature,True,priority2_alias,Chickpeas curry (Safed channa curry)
churros,False,unresolved,Unresolved: churros
clam_chowder,False,unresolved,Unresolved: clam_chowder
club_sandwich,True,priority3_normalized,Club sandwich
crab_cakes,True,priority2_alias,Fish cutlet (Machli ka cutlet)
creme_brulee,True,priority2_alias,Caramel custard (steamed)
croque_madame,True,priority2_alias,Egg sandwich (Ande ka sandwich)
cup_cakes,True,priority2_alias,Plain cream cake
dal_makhani,True,priority2_alias,Dal makhani
deviled_eggs,True,priority4_fuzzy,Deviled egg
dhokla,True,priority2_alias,Dhokla
donuts,True,priority2_alias,Sponge cake
dumplings,True,priority2_alias,Spring roll
edamame,True,priority2_alias,Soyabean curry
eggs_benedict,True,priority2_alias,Egg sandwich (Ande ka sandwich)
escargots,False,unresolved,Unresolved: escargots
falafel,True,priority2_alias,Spinach chickpeas cutlet (Palak channa dal cutlet)
filet_mignon,False,unresolved,Unresolved: filet_mignon
