food,weight_g,calories,protein,carbs,fats,sodium,proportional
idli,50,68.77,2.32,14.09,0.165,50.415,True
idli,100,137.54,4.64,28.18,0.33,100.83,True
idli,150,206.31,6.96,42.27,0.495,151.245,True
idli,200,275.08,9.28,56.36,0.66,201.66,True
samosa,50,221.555,1.105,6.61,21.11,53.85,True
samosa,100,443.11,2.21,13.22,42.22,107.7,True
samosa,150,664.665,3.315,19.83,63.33,161.55,True
samosa,200,886.22,4.42,26.44,84.44,215.4,True
masala_dosa,50,82.29,1.645,9.785,3.92,95.64,True
masala_dosa,100,164.58,3.29,19.57,7.84,191.28,True
masala_dosa,150,246.87,4.935,29.355,11.76,286.92,True
masala_dosa,200,329.16,6.58,39.14,15.68,382.56,True
butter_naan,50,143.225,4.025,25.875,2.495,163.055,True
butter_naan,100,286.45,8.05,51.75,4.99,326.11,True
butter_naan,150,429.675,12.075,77.625,7.485,489.165,True
butter_naan,200,572.9,16.1,103.5,9.98,652.22,True
chai,50,8.07,0.195,1.29,0.265,1.56,True
chai,100,16.14,0.39,2.58,0.53,3.12,True
chai,150,24.21,0.585,3.87,0.795,4.68,True
chai,200,32.28,0.78,5.16,1.06,6.24,True
pizza,50,124.75,2.895,15.31,6.215,198.865,True
pizza,100,249.5,5.79,30.62,12.43,397.73,True
pizza,150,374.25,8.685,45.93,18.645,596.595,True
pizza,200,499.0,11.58,61.24,24.86,795.46,True
